epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.105,2.72742,4.74353,2.63174,0.00078,0.3,0.00121,0.0004,2.57681,5.46436,2.45996,3.334e-05,3.334e-05,3.334e-05
2,184.381,2.15329,4.58573,2.13291,0.00104,0.4,0.10114,0.01105,2.18907,5.27866,2.24215,8.16997e-05,8.16997e-05,8.16997e-05
3,240.062,2.07062,4.1387,1.90797,0.00151,0.5,0.1674,0.07938,2.05043,4.75741,1.9405,0.000128079,0.000128079,0.000128079
4,300.043,1.95196,3.75503,1.80451,0.00262,0.8,0.2655,0.07572,1.69746,4.47164,1.54658,0.000172478,0.000172478,0.000172478
5,358.581,1.76508,3.27426,1.66842,0.00267,0.8,0.30564,0.14288,1.63495,4.31457,1.40672,0.000214896,0.000214896,0.000214896
6,405.919,1.73693,2.91141,1.55749,0.00267,0.8,0.3738,0.17698,1.58506,4.21446,1.37286,0.000255334,0.000255334,0.000255334
7,450.846,1.7843,3.16437,1.66234,0.00299,0.9,0.30236,0.16741,1.64399,4.13365,1.35325,0.000293792,0.000293792,0.000293792
8,494.967,1.63733,2.4266,1.45957,0.00299,0.9,0.36873,0.21201,1.68405,4.1286,1.35063,0.000330269,0.000330269,0.000330269
9,543.45,1.50859,2.53115,1.46571,0.003,0.9,0.45739,0.18949,1.54685,4.08037,1.27905,0.000364766,0.000364766,0.000364766
10,588.617,1.48328,2.48234,1.39429,0.003,0.9,0.40231,0.17712,1.63184,4.06814,1.34375,0.000397283,0.000397283,0.000397283
11,637.633,1.56104,2.61723,1.37963,0.00301,0.9,0.27787,0.14742,1.599,4.14896,1.45799,0.000427819,0.000427819,0.000427819
12,689.804,1.56339,2.4896,1.43726,0.00333,1,0.30323,0.15044,1.67206,4.18184,1.46683,0.000456375,0.000456375,0.000456375
13,755.388,1.71846,2.51446,1.54266,0.00267,0.8,0.34648,0.15097,1.64443,4.28672,1.38925,0.00048295,0.00048295,0.00048295
14,824.402,1.63497,2.29111,1.45292,0.00333,1,0.40449,0.1716,1.68474,4.25279,1.42104,0.000507545,0.000507545,0.000507545
15,909.405,1.61496,2.17863,1.42413,0.00267,0.8,0.43282,0.24289,1.63715,4.13067,1.35941,0.000530159,0.000530159,0.000530159
16,1000.38,1.67112,2.23119,1.47213,0.00234,0.7,0.42659,0.28018,1.52208,4.11532,1.32124,0.000550793,0.000550793,0.000550793
17,1051.38,1.50182,2.25024,1.40104,0.00234,0.7,0.39679,0.25199,1.50285,4.07483,1.24798,0.000569447,0.000569447,0.000569447
18,1098.45,1.60293,2.13643,1.4015,0.00234,0.7,0.51671,0.28226,1.53824,3.97505,1.25467,0.000586121,0.000586121,0.000586121
19,1145.22,1.4878,1.88947,1.29205,0.00301,0.9,0.54614,0.29067,1.46428,3.73444,1.21169,0.000600813,0.000600813,0.000600813
20,1189.32,1.44254,1.89451,1.38542,0.00334,1,0.66704,0.38795,1.39597,3.65219,1.18266,0.000613526,0.000613526,0.000613526
21,1236.44,1.44722,1.78848,1.31812,0.71345,0.63681,0.66669,0.41074,1.47175,3.64586,1.22937,0.000624258,0.000624258,0.000624258
22,1280.57,1.46392,1.78137,1.347,1,0.27203,0.78389,0.47858,1.34855,3.61198,1.17932,0.00063301,0.00063301,0.00063301
23,1324.04,1.59453,2.03639,1.49886,0.8791,0.3,0.79146,0.48046,1.48171,3.44795,1.21785,0.000639781,0.000639781,0.000639781
24,1370.24,1.43305,1.85826,1.40535,0.81804,0.4,0.74949,0.39702,1.57083,3.46921,1.23245,0.000644572,0.000644572,0.000644572
25,1407.8,1.38295,1.70441,1.26179,0.5422,0.51812,0.68197,0.40436,1.54418,3.32004,1.24496,0.000647383,0.000647383,0.000647383
26,1446.22,1.48591,2.08217,1.45529,0.60932,0.5,0.73269,0.34475,1.50652,3.37076,1.28788,0.000648213,0.000648213,0.000648213
